,position,avg_consult_mins,doctor_speed,time_of_day,day_of_week,actual_wait_time
0,10,8,0.6348694606070007,14,6,64.75668498191406
1,13,10,1.3767859238446498,21,6,262.41539708479024
2,8,30,0.9031933740395668,9,2,274.5707857080283
3,2,15,0.9189323795074178,20,3,39.51409231881897
4,13,30,0.6210350366665763,11,1,291.2654321966243
5,1,10,0.6962845390438689,15,6,20.192251632272196
6,10,20,1.3282073424578003,9,3,344.00570169657027
7,9,15,1.497803828277112,13,5,246.38872975158492
8,12,20,0.9071105397105956,19,6,300.07216653626506
9,12,10,1.2692113858498368,12,0,164.9974801604788
10,9,15,0.8932756282522599,21,1,161.68288871365905
11,9,8,0.9074851469358268,20,3,78.40671669525544
12,10,15,0.814925041772988,17,5,145.05665743559186
13,8,20,0.5670293519159137,19,0,110.57072362360319
14,13,8,0.8297631252726818,20,1,103.55443803403068
15,12,30,0.9151534074002382,17,6,370.63712999709645
16,8,15,1.1123852818671238,14,1,139.0481602333905
17,9,15,1.4899818252014727,18,2,204.12751005260176
18,1,8,0.5417157107076555,13,0,7.5840199499071765
19,10,10,1.3377277933407126,9,4,177.91779651431477
20,13,8,0.7882941193967422,17,2,82.77088253665794
21,14,8,1.09672617833826,16,4,126.1235105088999
22,3,20,0.9480987090194096,9,4,79.6402915576304
23,6,8,0.8069863295413365,12,0,53.26109774972821
24,4,10,0.551558351158229,20,2,34.74817612296843
25,4,10,1.4520149739555888,21,4,75.50477864569062
26,4,10,0.6033809489913502,16,0,27.15214270461076
27,10,10,0.6223639825669811,11,6,85.26386561167641
28,14,10,1.1032861513688021,17,3,175.42249806763954
29,12,15,0.7248155325285149,13,6,151.4864462984596
30,9,8,1.3306785736303395,14,6,122.6885644887173
31,8,10,0.8764692552749372,21,1,90.27633329331853
32,6,8,1.0853513538035235,20,2,72.28440016331466
33,9,30,0.8577838816077394,19,6,309.14531093142926
34,7,30,0.5601335602817678,15,2,128.27058530452481
35,1,15,1.0253903899693155,14,4,20.50780779938631
36,14,8,0.8048130168664754,17,1,98.18718805771
37,13,15,1.451980844209367,14,6,331.77762290184035
38,13,8,1.4063501766717117,19,1,200.82680522872045
39,2,20,0.8629819443961704,12,6,50.05295277497788
40,10,30,0.6852715373456865,19,3,252.1799257432126
41,11,10,0.5669717925378438,12,6,72.00541765230616
42,10,30,0.8606382587987368,19,4,321.87870879072756
43,1,20,0.8615752351267149,20,0,31.87828369968845
44,11,10,1.0322165754938193,13,3,113.54382330432013
45,3,15,1.008486875377392,18,4,47.39888314273742
46,3,30,1.3915510455719833,9,2,168.37767651420998
47,6,20,0.5880160990083083,15,2,72.32598017802192
48,9,30,0.7983851572406776,18,1,218.75753308394567
49,4,15,1.2825198843225092,20,6,124.6609327561479
50,1,15,1.448411486692787,15,4,44.9007560874764
51,11,15,1.1818008001146239,16,6,229.86025562229435
52,14,10,0.9901400378558619,10,4,179.215346851911
53,5,8,1.018470550807264,17,5,62.12670359924311
54,2,8,0.9266617656791242,19,5,35.32434650768822
55,4,30,1.4015497571305193,9,4,224.2479611408831
56,14,8,0.5934179501156598,9,1,88.06322379716391
57,7,30,1.0135873566061746,15,5,249.34248972511895
58,11,8,0.9604108005652306,20,5,127.88830220326611
59,13,30,0.7027513187700422,19,0,341.5371409222405
60,5,8,0.9270162825311932,14,5,40.7887164313725
61,3,8,0.8228019996205734,11,2,29.456311586416525
62,4,10,1.3511965523366047,9,0,82.4229896925329
63,2,20,1.1973227234140822,19,2,69.44471795801677
64,14,8,0.5021165891863504,20,2,73.5098686568817
65,13,8,1.1821549179380098,19,6,171.74346647803407
66,4,20,0.5523048130964032,16,0,53.573566870351115
67,13,20,1.1818442992426845,17,2,309.64320640158337
68,5,15,0.8258799893895885,18,6,68.96097911403064
69,3,10,1.148231059939613,9,3,58.559784056920265
70,8,10,0.7049042864891067,12,1,56.39234291912854
71,3,30,0.7897248802229118,16,5,80.551937782737
72,12,8,0.5672231428538262,15,4,54.453421713967316
73,13,15,0.9318297336010034,12,4,193.82058458900872
74,14,20,1.4039290273114946,21,4,471.72015317666217
75,5,15,0.9288759230230957,12,0,70.59457014975527
76,11,20,1.3976971165884486,17,1,311.68645699922405
77,14,10,1.1402220313700449,19,0,196.1181893956477
78,8,10,1.0443603164512376,15,0,103.39167132867253
79,5,30,0.8139923693243925,18,0,132.68075619987596
